	ID	Label	Area	cm2	Circ	Slice	AR	Round	Solidity	Mean.Green	Mean.Blue	Mean.Red
195	ID_05	0012-1460	20085	3.13828125	0.3	1	2.7	0.4	0.8	77.4	37.1	134.8
196	ID_05	0013-1471	23113	3.61140625	0.6	1	2.6	0.4	0.9	63.6	60.5	93.4
197	ID_05	0014-1471	22094	3.4521875	0.5	1	2.6	0.4	0.8	83.4	36.7	137.9
198	ID_05	0015-1805	22047	3.44484375	0.5	1	2.5	0.4	0.8	81.3	36.3	142.2
199	ID_05	0016-1824	23233	3.63015625	0.5	1	2.4	0.4	0.9	69.9	67.5	98.1
200	ID_05	0017-1834	23417	3.65890625	0.5	1	2.4	0.4	0.8	81.9	34.7	139.3
201	ID_05	0018-1873	23251	3.63296875	0.5	1	2.5	0.4	0.9	64.6	61.4	98.7
202	ID_05	0019-1894	22999	3.59359375	0.6	1	2.2	0.4	0.9	60.2	56.6	93.8
203	ID_05	0020-1933	22412	3.501875	0.5	1	2.7	0.4	0.9	81.8	38.5	134.9
204	ID_05	0021-1936	23573	3.68328125	0.6	1	2	0.5	0.9	65.9	64	94.7
205	ID_05	0022-2266	22590	3.5296875	0.5	1	2.2	0.5	0.8	67.6	63.6	100.6
206	ID_05	0023-2288	22901	3.57828125	0.5	1	2.7	0.4	0.8	98.4	52.4	120.1
207	ID_05	0024-2288	22245	3.47578125	0.5	1	2.6	0.4	0.9	64.2	62	95.4
208	ID_05	0025-2296	22581	3.52828125	0.5	1	2.5	0.4	0.9	83.6	36.4	142.2
209	ID_05	0026-2299	22024	3.44125	0.6	1	2.6	0.4	0.9	60.3	59.8	89.7
210	ID_05	0027-2283	21900	3.421875	0.6	1	2.1	0.5	0.9	62.7	58.8	97.4
211	ID_05	0028-2298	23553	3.68015625	0.5	1	2.2	0.5	0.8	100.8	56.4	121.9
268	ID_06	0001-1133	11415	1.78359375	0.7	1	1	1	0.9	157.9	145.8	174.7
269	ID_06	0002-1148	11789	1.84203125	0.8	1	1.1	0.9	1	156.5	145.2	173.3
270	ID_06	0003-1166	12488	1.95125	0.8	1	1	1	1	161.7	151	178.9
271	ID_06	0004-1545	1677	0.26203125	0.8	1	1.1	0.9	1	134.4	109.3	157.5
272	ID_06	0005-1603	12318	1.9246875	0.7	1	1	1	0.9	74.8	84.6	145.9
273	ID_06	0006-1616	11068	1.729375	0.7	1	1.1	0.9	0.9	67.6	78.4	139.2
274	ID_06	0007-1612	11301	1.76578125	0.7	1	1.1	0.9	0.9	72.3	85.9	148.9
275	ID_06	0008-2013	15672	2.44875	0.8	1	1.1	0.9	1	141.8	96.8	171.5
276	ID_06	0009-2016	12553	1.96140625	0.8	1	1.1	0.9	1	149.9	108.2	177.9
277	ID_06	0010-2020	11893	1.85828125	0.8	1	1.2	0.8	1	144.4	104.5	172.5
298	ID_07	0001-0770	57922	9.0503125	0.5	1	1.4	0.7	0.9	82.7	81.6	96.8
299	ID_07	0002-0790	58820	9.190625	0.5	1	1.5	0.7	0.9	85.4	84.3	100.8
300	ID_07	0003-0799	60278	9.4184375	0.6	1	1.4	0.7	0.9	88.4	88	104.3
301	ID_07	0004-1428	62462	9.7596875	0.6	1	1.4	0.7	0.9	86.1	85	99.2
302	ID_07	0005-1455	59294	9.2646875	0.5	1	1.4	0.7	0.9	86.5	85.6	101.1
303	ID_07	0006-1482	58544	9.1475	0.5	1	1.5	0.7	0.9	88.5	86.9	101.7
304	ID_07	0007-2189	60851	9.50796875	0.4	1	1.5	0.7	0.9	90.1	88.3	103
305	ID_07	0008-2198	62361	9.74390625	0.5	1	1.5	0.6	0.9	89.5	88.2	103.7
306	ID_07	0009-2260	60801	9.50015625	0.5	1	1.5	0.7	0.9	90.3	89.8	104
325	ID_08	0001-0832	21664	3.385	0.7	1	1.1	0.9	1	30.9	20.7	53.4
326	ID_08	0002-0868	19665	3.07265625	0.8	1	1.2	0.9	1	31.3	21.3	52.1
327	ID_08	0003-0875	19962	3.1190625	0.8	1	1	1	1	28.2	19	47.9
328	ID_08	0004-0881	19329	3.02015625	0.7	1	1.1	0.9	1	31.1	21	52.5
329	ID_08	0005-1180	15548	2.429375	0.7	1	1.3	0.8	1	31.9	21.1	52.9
330	ID_08	0006-1233	17489	2.73265625	0.8	1	1.2	0.8	1	35.5	24.5	57.1
331	ID_08	0007-1246	21306	3.3290625	0.8	1	1.1	0.9	1	32.7	22.2	52.7
332	ID_08	0008-1266	19046	2.9759375	0.7	1	1.1	0.9	1	33	23.1	53.9
333	ID_08	0009-1591	22676	3.543125	0.8	1	1	1	1	29.5	19.7	49.9
334	ID_08	0010-1599	20514	3.2053125	0.8	1	1.2	0.9	1	27.4	17.3	46.9
335	ID_08	0011-1612	21443	3.35046875	0.8	1	1	1	1	29.5	19.3	49.9
336	ID_08	0012-1619	19541	3.05328125	0.7	1	1.1	0.9	1	28.7	18.7	47.2
337	ID_08	0013-1976	20574	3.2146875	0.8	1	1.1	0.9	1	33	22	55.3
