 	ID	Label	Color	Area	cm2	Mean	StdDev	Mode	Min	Max	Circ.	Slice	AR	Round	Solidity	MinThr	MaxThr
45	ID_01	0013-2019	Blue	23666	3.6978125	47.2	15.3	41	0	104	0.7	3	1.1	0.9	0.9	0	255
46	ID_01	0014-2030	Blue	23300	3.640625	47.8	15.2	41	13	95	0.6	3	1.1	0.9	0.9	0	255
47	ID_01	0015-2042	Blue	23734	3.7084375	53.4	12.9	48	9	100	0.6	3	1.1	0.9	0.9	0	255
48	ID_01	0016-2043	Blue	23992	3.74875	48.2	15.4	41	0	101	0.7	3	1.1	0.9	0.9	0	255
49	ID_02	0001-0809	Red	48070	7.5109375	27	18.9	12	4	120	0.5	1	3.7	0.3	0.9	0	255
50	ID_02	0002-0822	Red	46835	7.31796875	24.7	19.1	11	3	147	0.4	1	3.8	0.3	0.9	0	255
51	ID_02	0003-0838	Red	49770	7.7765625	26.2	19.3	10	3	124	0.5	1	3.7	0.3	1	0	255
52	ID_02	0004-0882	Red	51008	7.97	29.9	23.1	9	4	121	0.5	1	3.4	0.3	1	0	255
53	ID_02	0005-1470	Red	53561	8.36890625	33.6	20.4	14	6	119	0.5	1	3.4	0.3	0.9	0	255
54	ID_02	0006-1460	Red	47344	7.3975	30.9	20.8	9	3	115	0.5	1	3.5	0.3	1	0	255
55	ID_02	0007-1473	Red	46849	7.32015625	29.7	21.4	9	4	115	0.5	1	3.7	0.3	0.9	0	255
56	ID_02	0008-1538	Red	47657	7.44640625	33	22.5	10	5	118	0.4	1	3.4	0.3	0.9	0	255
57	ID_02	0009-2101	Red	47539	7.42796875	33	20.6	15	7	115	0.5	1	3.7	0.3	1	0	255
58	ID_02	0010-2125	Red	49028	7.660625	33	21.3	17	7	114	0.5	1	3.3	0.3	1	0	255
59	ID_02	0011-2139	Red	50027	7.81671875	37.9	17.9	43	8	117	0.5	1	3.5	0.3	1	0	255
60	ID_02	0012-2141	Red	47460	7.415625	35	21.7	20	8	116	0.5	1	3.5	0.3	1	0	255
61	ID_02	0013-2688	Red	46982	7.3409375	37	17.9	22	11	119	0.5	1	3.5	0.3	1	0	255
62	ID_02	0014-2755	Red	50055	7.82109375	38.2	20.7	19	6	117	0.5	1	3.4	0.3	1	0	255
63	ID_02	0015-2766	Red	51764	8.088125	30.6	22.1	14	6	127	0.4	1	3.4	0.3	0.9	0	255
64	ID_02	0016-2778	Red	51711	8.07984375	33.3	19.8	16	7	120	0.5	1	3.5	0.3	0.9	0	255
65	ID_02	0001-0809	Green	48070	7.5109375	22.7	15.4	10	3	100	0.5	2	3.7	0.3	0.9	0	255
66	ID_02	0002-0822	Green	46835	7.31796875	20.4	15.6	10	3	143	0.4	2	3.8	0.3	0.9	0	255
67	ID_02	0003-0838	Green	49770	7.7765625	21.9	16	9	3	97	0.5	2	3.7	0.3	1	0	255
68	ID_02	0004-0882	Green	51008	7.97	25.5	19.6	8	3	100	0.5	2	3.4	0.3	1	0	255
69	ID_02	0005-1470	Green	53561	8.36890625	28.9	17.4	10	4	98	0.5	2	3.4	0.3	0.9	0	255
70	ID_02	0006-1460	Green	47344	7.3975	26.6	17.8	9	2	96	0.5	2	3.5	0.3	1	0	255
